First_Name,Last_Name,DOB,PAN_Number,Aadhaar_Number,Risk_Score,Fraud_Flag
Aanya,Rao,1976-03-08,YSAKJ8532Z,078309393858,0.2,0
Isha,Sharma,1983-08-17,CIJLS3201P,443941314235,0.16,0
Rohan,Singh,1978-12-16,FRPZW6345K,230271751447,0.04,0
Diya,Mehta,1984-01-24,TLSVQ8285K,994822306970,0.15,0
Aarav,Desai,1993-08-18,BCJYT9644Z,933125252334,0.2,0
Sai,Singh,1996-01-14,ZTYLV5790D,236146983585,0.24,0
Nisha,Mehta,1977-03-22,468273391G,6481024685,0.97,1
Vivaan,Verma,1973-07-21,UWTZN4250L,132758191952,0.24,0
Vihaan,Rao,1988-10-02,VLFDM7720G,025328779386,0.26,0
Vivaan,Sharma,1983-10-27,EYQZE3057T,095359560763,0.18,0
Rohan,Sharma,1991-04-02,TMUSV3943T,214376200662,0.04,0
Vivaan,Rao,1979-03-13,SJMLQ9838T,861512747358,0.17,0
Kavya,Desai,1972-07-22,IIATN8684O,454116259111,0.17,0
Aditya,Desai,1973-04-29,QMQRM0450Q,922724390902,0.02,0
Sai,Sharma,1975-02-25,DVGLM4516Z,135717508401,0.14,0
Sai,Kumar,1981-08-19,HPXFP2852G,917283148872,0.05,0
Arjun,Kumar,2003-04-30,RHMPZ3564M,649034061366,0.08,0
Vihaan,Kumar,1984-01-03,602124125P,5554249251,0.73,1
Kavya,Joshi,1980-09-04,AXPWE7608I,356013585157,0.18,0
Arjun,Sharma,2000-01-25,WOXFS2830P,112364879645,0.24,0
Diya,Kumar,1988-01-13,XLNKQ2506I,227955239511,0.11,0
Aditya,Verma,1997-10-20,KCSYA4235D,965079732479,0.23,0
Vihaan,Desai,1982-08-17,KQHGF4990A,608632740608,0.09,0
Sai,Mehta,1979-08-08,EWRRI1886B,138325589370,0.19,0
Nisha,Singh,1981-04-03,YOPDC3313S,339698566444,0.07,0
Aarav,Gupta,1997-11-30,GHJRF7007R,164537112520,0.06,0
Rohan,Rao,1995-07-14,OTKPT3612T,312402371435,0.15,0
Aanya,Rao,2003-12-07,UBYZS4044Y,525326376893,0.19,0
Nisha,Desai,1989-07-28,MZIRP7409Z,563538082618,0.26,0
Kavya,Joshi,1993-05-04,RDVOX9335P,557374431664,0.2,0
Rohan,Joshi,1996-01-09,BQQPY0755A,915939141328,0.24,0
Aditya,Singh,1989-02-19,QREPJ5907X,126753220644,0.26,0
Aanya,Desai,1974-02-10,WMQRC2629F,719330038577,0.15,0
Arjun,Joshi,1973-06-23,FFOPS4770O,107153214689,0.05,0
Aditya,Joshi,1970-07-15,UFKQB4849V,498034502759,0.2,0
Vihaan,Kumar,1982-02-22,CLNLU5602G,412224210768,0.29,0
Vihaan,Patel,1998-03-22,EDPHC6930E,322919721739,0.1,0
Isha,Desai,1974-11-30,UFPPF9304Z,604207764463,0.17,0
Sai,Desai,1988-10-08,OWCQM9480Q,238114549791,0.11,0
Nisha,Gupta,2003-06-23,JZLJH6961M,754593707844,0.27,0
Arjun,Rao,1985-07-24,SABXF9239J,766348553079,0.07,0
Aarav,Kumar,1994-08-20,NMGSZ2425G,586319200336,0.07,0
Nisha,Kumar,1989-12-16,164151231K,0308245417,0.87,1
Vihaan,Gupta,1985-06-05,OXYIK7089P,820680510675,0.13,0
Rohan,Desai,1996-07-01,888101100K,7181881191,0.94,1
Vihaan,Joshi,1996-09-26,ZXVRE8861V,898868192263,0.29,0
Aditya,Patel,1970-09-14,490309212X,3293750443,0.87,1
Aarav,Gupta,1973-12-24,QYECJ2522R,517469087857,0.17,0
Nisha,Desai,1978-07-10,CWERK8004H,267137040190,0.03,0
Isha,Patel,1998-07-28,NAAAE9810A,172327180232,0.12,0
Diya,Patel,1972-08-04,NILTZ6684H,636723418780,0.18,0
Arjun,Kumar,1992-12-20,FDCEP6586E,255979322847,0.26,0
Isha,Singh,1989-12-24,QPIHP9718Z,681388597320,0.26,0
Vihaan,Desai,1997-10-17,WGFQS1616E,784682268571,0.11,0
Aanya,Sharma,1971-05-21,HFIVX4439R,000289485594,0.01,0
Kavya,Patel,1996-09-18,NZZEH0205X,595188741953,0.24,0
Vivaan,Kumar,1980-03-05,DIBKW2308I,077493283234,0.16,0
Nisha,Patel,1972-11-30,QJIPE0066B,197081469443,0.1,0
Vivaan,Desai,1974-07-28,YAEPU4169P,120429959695,0.05,0
Aditya,Patel,2000-08-28,YJIZO4723W,086093824391,0.29,0
Diya,Gupta,2002-12-28,PTNMY1031O,892401167848,0.25,0
Vihaan,Gupta,1977-05-18,CHMXE9389F,866667337955,0.19,0
Kavya,Desai,2002-08-03,WZDFX3442M,064616465414,0.2,0
Vihaan,Kumar,1992-10-03,NIWOB2998I,465380194169,0.28,0
Isha,Singh,1987-11-23,DRZIX4740V,782536446171,0.15,0
Vihaan,Gupta,1984-09-20,NTVFU9046I,766723057470,0.09,0
Arjun,Sharma,1981-04-22,JZYDF9857O,850009973569,0.1,0
Isha,Desai,1980-05-17,NMVES8829E,457890434352,0.13,0
Arjun,Singh,1987-01-28,GGDPH1863D,679241669474,0.17,0
Isha,Rao,1996-07-17,KQUZL6452I,969686142611,0.16,0
Aditya,Rao,1988-11-20,YCOHH2807J,875937342129,0.18,0
Aditya,Kumar,1982-01-24,QEKHS3044M,617188536535,0.12,0
Vivaan,Gupta,1984-10-03,VLIIU1622C,162718095860,0.26,0
Diya,Rao,1982-07-31,ZTMYK0502Z,678271152240,0.1,0
Aditya,Joshi,1991-12-04,ZAFUQ7694Q,762436566687,0.03,0
Aarav,Singh,1977-03-07,DHGFS5066H,730687187413,0.29,0
Aanya,Mehta,1983-12-16,NYKTU2537M,309595187524,0.02,0
Vivaan,Sharma,2003-03-22,VHOTV6250L,446997202299,0.17,0
Nisha,Sharma,1998-04-19,ZVNPG7841X,435634767745,0.29,0
Arjun,Desai,1986-01-06,WJFRD8847G,745372377244,0.06,0
Kavya,Singh,2004-04-24,LMQUN1627E,668340589637,0.07,0
Rohan,Rao,1977-01-09,DZPQM0355N,162537933927,0.06,0
Rohan,Kumar,1991-03-12,FPHDD8901R,340430256546,0.27,0
Aarav,Gupta,1988-08-23,DPYIS4701H,649446441972,0.18,0
Isha,Gupta,1990-11-17,RQFCX6217K,128398335967,0.09,0
Aditya,Joshi,1987-11-11,EHNIK7253O,493048665632,0.28,0
Nisha,Verma,1978-03-24,XAWIZ5533O,231065617466,0.16,0
Rohan,Sharma,1989-11-30,RGAOL4808F,435160053498,0.2,0
Sai,Desai,1995-03-04,AXBWP6901S,677611286345,0.12,0
Aarav,Kumar,1999-10-06,RAVOQ5258K,102174292585,0.05,0
Vihaan,Verma,1973-08-12,SHXTI6323M,120799776687,0.06,0
Aanya,Gupta,1972-07-24,HSRFE9002M,195820396379,0.08,0
Rohan,Singh,1989-07-29,KRNCB7927F,150850969550,0.26,0
Isha,Sharma,1995-03-28,MAFHX8194W,784338007800,0.14,0
Arjun,Mehta,1980-08-05,RQKOJ7687T,883159650282,0.25,0
Vivaan,Verma,1985-09-18,JWWBL1471Y,314302113340,0.29,0
Sai,Singh,1981-05-04,OYKYJ6613X,848438606678,0.21,0
Aanya,Gupta,1976-04-04,YYTJG8350I,996091642149,0.25,0
Vivaan,Joshi,1973-01-03,ZVJNO1230J,702642175940,0.23,0
Nisha,Sharma,1989-09-01,GOOMW1142F,041843345698,0.09,0
Aanya,Gupta,1983-07-17,ASRAP8469N,795678459701,0.12,0
Arjun,Gupta,1974-12-24,UCZJG0564G,971499588195,0.07,0
Aditya,Singh,1997-07-13,UXKPS3951D,184723842350,0.28,0
Vihaan,Patel,1977-12-16,PXETM9912X,436515296397,0.01,0
Isha,Verma,1986-06-07,ZEILB6015X,025820413854,0.11,0
Sai,Sharma,1985-08-19,FCXLT5489Q,053442515909,0.03,0
Vihaan,Singh,1985-06-24,JGMDX4232X,235192334571,0.27,0
Aditya,Gupta,1991-11-28,SZGSG7487D,684616975417,0.22,0
Nisha,Desai,1971-07-04,KHACI9260G,067543442244,0.14,0
Vivaan,Verma,2000-01-15,ZBRNC7052L,550351155650,0.22,0
Kavya,Joshi,2002-11-15,TDDLR8706U,393678205902,0.14,0
Vihaan,Mehta,1978-08-10,MWPNJ0505V,443167490248,0.08,0
Rohan,Singh,1975-09-08,HSITT3900U,859527514821,0.08,0
Aditya,Desai,1988-06-16,TFJGG7812O,062480298843,0.19,0
Aanya,Desai,1979-07-13,MSMIA6773A,104647956181,0.13,0
Aarav,Patel,1971-02-13,UHFMN7985O,384033610720,0.21,0
Sai,Gupta,2001-03-04,NBNJZ2713T,829158842229,0.06,0
Aarav,Sharma,1986-06-14,MDCWE0777D,872979526702,0.05,0
Kavya,Joshi,1995-12-06,BYYOH6919K,685400480004,0.04,0
Aanya,Sharma,1997-02-06,WSRJE9391I,172378142000,0.18,0
Aarav,Gupta,1979-04-22,TXKQN7376S,558395694707,0.29,0
Nisha,Kumar,1974-07-27,QJTPI8913M,882996848906,0.11,0
Kavya,Mehta,2002-04-22,LQHOB7920V,531170433947,0.24,0
Aarav,Sharma,1998-01-05,CIXTT5301M,795390975107,0.29,0
Aditya,Mehta,1990-06-17,HZXBG9745A,426897942116,0.3,0
Nisha,Mehta,1998-05-13,885115776Z,6040092090,0.9,1
Kavya,Rao,1971-07-27,QFGEK8138P,715415957335,0.14,0
Sai,Verma,1979-09-14,ELMTP6437M,223591454467,0.29,0
Nisha,Verma,2004-03-05,XEHIB1443P,957208778115,0.09,0
Isha,Verma,1998-01-23,AHTPN8564V,842195769188,0.3,0
Rohan,Singh,1975-04-11,AKEPO4930D,290026962030,0.16,0
Aanya,Rao,1988-08-06,LUHND0518S,557563740078,0.19,0
Nisha,Patel,1979-01-17,CTXBN6915V,248427939141,0.04,0
Aditya,Mehta,2003-01-28,FYSNP4580M,878088794845,0.04,0
Vihaan,Singh,1978-01-29,BOBJK1289F,745405172008,0.01,0
Vihaan,Gupta,1999-12-16,949805439L,1263775930,0.8,1
Aarav,Sharma,1972-09-30,UCVYS4228I,629969098426,0.14,0
Rohan,Joshi,1978-02-22,QJESN6359M,557038508605,0.09,0
Arjun,Patel,1980-12-23,AYVML2006O,255995257398,0.19,0
Kavya,Joshi,1982-06-02,MPPOH4670V,010252011916,0.02,0
Sai,Desai,1974-02-16,IGZNR3646G,167448614742,0.13,0
Sai,Sharma,2003-06-07,MQIES9069Y,976978465858,0.06,0
Aarav,Mehta,1974-08-06,JUCEA4969R,662492175874,0.13,0
Vivaan,Desai,1989-07-31,NMTJC0929I,637785571526,0.07,0
Arjun,Sharma,1995-11-07,IJTIS3100H,585782758543,0.05,0
Vivaan,Patel,2000-08-04,RXHLW3692L,224614226937,0.28,0
Diya,Verma,1983-12-07,CZTFJ2367C,168745693853,0.16,0
Aanya,Joshi,1983-09-26,ISAMX3975E,109618825148,0.26,0
Isha,Joshi,1975-02-14,933658383W,3887995859,0.98,1
Vivaan,Joshi,1973-12-12,RPWWR9545R,586670830930,0.29,0
Aarav,Patel,1987-09-04,380917892C,3656609457,0.88,1
Isha,Kumar,1981-08-05,RXQMF7416X,518101261264,0.14,0
Vivaan,Verma,1985-11-19,BSNRP3356B,950830901138,0.18,0
Isha,Mehta,1970-10-29,VUYAG0971J,298818878231,0.11,0
Aditya,Patel,1981-09-03,765578684H,7675157518,0.71,1
Isha,Rao,1986-03-22,YYUOU2202A,331256639939,0.07,0
Arjun,Kumar,1997-08-11,UYYMP3142S,633613816409,0.27,0
Kavya,Desai,1988-06-18,ZFBAA8381R,504052286935,0.21,0
Kavya,Rao,1977-04-07,VHQXH0259M,415467896582,0.03,0
Sai,Kumar,2004-08-04,JVCPI7391B,048238351110,0.27,0
Aditya,Singh,1982-08-16,ANOSI3413D,810929680743,0.23,0
Isha,Patel,1987-05-24,KSRBV7350Z,387467591012,0.02,0
Aanya,Singh,1993-05-14,SDIZU1550E,511180603890,0.19,0
Vivaan,Patel,1995-05-11,GDEET1963N,573107393379,0.24,0
Nisha,Gupta,1970-04-04,EBDPE0416Z,587993884552,0.22,0
Rohan,Singh,1982-06-22,266908156I,5139609171,0.71,1
Aarav,Rao,1983-08-10,LTHSF5204D,808049673052,0.02,0
Nisha,Verma,1974-10-11,LWCPG5098D,006210013811,0.29,0
Aanya,Gupta,1991-11-03,MCWVG0425S,359201555793,0.19,0
Aditya,Patel,1988-01-09,QZBZZ7809X,748243126595,0.06,0
Isha,Joshi,1991-04-03,891678792Y,4637702625,0.96,1
Aanya,Rao,1989-06-28,LWXWI4329S,027275843293,0.12,0
Sai,Verma,1991-04-07,638178280U,5866648731,0.71,1
Arjun,Mehta,1986-11-02,VRDJD0215E,076697992104,0.14,0
Vivaan,Sharma,2004-03-16,FEIPI9947U,686407158210,0.03,0
Aditya,Mehta,1988-07-13,ORMHR8655T,320659144569,0.13,0
Kavya,Joshi,1994-11-05,TBHVU1973B,611280500647,0.05,0
Nisha,Joshi,1988-04-28,IUQIT7574R,041350659739,0.17,0
Aarav,Mehta,1992-09-25,JQUEU4921K,302208117568,0.18,0
Vihaan,Rao,1998-07-28,QMHXF1891V,795092450647,0.1,0
Vivaan,Joshi,1999-12-28,JTKJR1790S,859986996532,0.16,0
Sai,Rao,1979-08-11,YELXB4597Z,529849717931,0.04,0
Kavya,Desai,1974-12-15,QXDTB3664K,466019611180,0.2,0
Aanya,Rao,1978-08-15,AVWQC7716O,555657481076,0.02,0
Aanya,Desai,1984-10-14,AFANZ4706B,171631086989,0.24,0
Aanya,Verma,1976-02-12,SXTZI2328U,072029130204,0.04,0
Vihaan,Rao,2002-09-19,AKDYS7107P,538919239024,0.22,0
Isha,Joshi,1973-02-04,AZMZS1707E,277446642460,0.02,0
Aanya,Verma,1992-02-04,BPDSZ2253K,077947645715,0.05,0
Aditya,Sharma,2003-12-02,ABBOL6544G,853627460506,0.13,0
Sai,Sharma,1983-04-01,BEKUN0520U,318855453291,0.22,0
Kavya,Patel,1998-04-07,WIDMT7478G,038243802011,0.18,0
Diya,Joshi,2000-02-05,JAASQ5395O,875600397354,0.25,0
Nisha,Sharma,1979-03-19,451878107T,7931060350,0.9,1
Sai,Desai,1981-08-20,FCAIW9518Y,696500806714,0.18,0
Aanya,Singh,2001-04-01,508589616C,6105971678,0.96,1
Nisha,Desai,1971-11-11,JGUKN9462V,750125618394,0.19,0
Isha,Mehta,1975-09-27,BIEAL4498P,011285743184,0.1,0
Nisha,Gupta,1993-03-24,848419860U,1275702953,0.85,1
Aditya,Sharma,1991-05-02,845284638P,2497425429,0.87,1
Aarav,Sharma,2002-09-21,JXFFO4391T,568113849822,0.23,0
Diya,Singh,1972-04-01,GSEOS2800P,581845973109,0.02,0
